"Title","Url","LocalFile"
"问：企业在执行《企业会计准则第14号——收入》（财会〔2017〕22号）时，对于给予客户的...","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202012/t20201211_3634029.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\001-问：企业在执行-企业会计准则第14号-收入-财会〔2017〕22号-时-对于给予客户的....html"
"问：企业在执行《企业会计准则第14号——收入》（财会〔2017〕22号）时，对于因转让商品...","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202012/t20201211_3634031.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\002-问：企业在执行-企业会计准则第14号-收入-财会〔2017〕22号-时-对于因转让商品....html"
"问：合同资产发生减值的，应当计入哪个会计科目？","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202012/t20201211_3634035.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\003-问：合同资产发生减值的-应当计入哪个会计科目？.html"
"问：已执行《企业会计准则第22号——金融工具确认和计量》（财会〔2017〕7号）的企业，在...","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202012/t20201211_3634036.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\004-问：已执行-企业会计准则第22号-金融工具确认和计量-财会〔2017〕7号-的企业-在....html"
"问：用于开发建造房屋建筑物的土地使用权是否满足《企业会计准则第17号——借款费用》（...","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202012/t20201211_3634037.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\005-问：用于开发建造房屋建筑物的土地使用权是否满足-企业会计准则第17号-借款费用-....html"
"问：企业对于当期直接减免的增值税，应当如何进行会计处理？","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202012/t20201211_3634038.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\006-问：企业对于当期直接减免的增值税-应当如何进行会计处理？.html"
"问：小微企业达到增值税制度规定的免征增值税条件时，应当如何进行会计处理？","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202012/t20201211_3634040.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\007-问：小微企业达到增值税制度规定的免征增值税条件时-应当如何进行会计处理？.html"
"问：企业缴纳残疾人就业保障金应当计入哪个会计科目？","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202012/t20201211_3634041.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\008-问：企业缴纳残疾人就业保障金应当计入哪个会计科目？.html"
"问：某国内企业的境外母公司在集团内实施股权激励计划且适用股份支付准则，该国内企业无...","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202103/t20210302_3664183.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\009-问：某国内企业的境外母公司在集团内实施股权激励计划且适用股份支付准则-该国内企业无....html"
"问：债务人以存货清偿债务方式进行的债务重组，是否应当作为存货销售进行会计处理？","https://kjs.mof.gov.cn/zt/kjzzss/sswd/202103/t20210302_3664186.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\implementation-qa-pages\010-问：债务人以存货清偿债务方式进行的债务重组-是否应当作为存货销售进行会计处理？.html"
