"Title","Url","LocalFile"
"收入准则应用案例——运输服务","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/201812/t20181211_3088434.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\001-收入准则应用案例-运输服务.html"
"收入准则应用案例——合同履约成本（酒店等服务行业的合同成本）","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/201812/t20181211_3088435.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\002-收入准则应用案例-合同履约成本-酒店等服务行业的合同成本.html"
"收入准则应用案例——合同负债（电商平台预售购物卡）","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/201812/t20181211_3088436.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\003-收入准则应用案例-合同负债-电商平台预售购物卡.html"
"收入准则应用案例——合同负债（涉及不同增值税率的储值卡）","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/201812/t20181211_3088437.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\004-收入准则应用案例-合同负债-涉及不同增值税率的储值卡.html"
"收入准则应用案例——亏损合同案例","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/201812/t20181211_3088438.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\005-收入准则应用案例-亏损合同案例.html"
"收入准则应用案例——定制软件开发服务的收入确认","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/202007/t20200717_3551278.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\006-收入准则应用案例-定制软件开发服务的收入确认.html"
"收入准则应用案例——药品实验服务的收入确认","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/202007/t20200717_3551279.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\007-收入准则应用案例-药品实验服务的收入确认.html"
"收入准则应用案例——保荐服务的收入确认","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/202007/t20200717_3551280.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\008-收入准则应用案例-保荐服务的收入确认.html"
"收入准则应用案例——主要责任人和代理人的判断","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/202012/t20201211_3634020.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\009-收入准则应用案例-主要责任人和代理人的判断.html"
"收入准则应用案例——合同变更与可变对价的判断","https://kjs.mof.gov.cn/zt/kjzzss/srzzzq/202012/t20201211_3634022.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\application-cases-pages\010-收入准则应用案例-合同变更与可变对价的判断.html"
