article_id,title,source_role,parent_url,attachment_url,original_path,markdown_path,sha256,content_type,extraction_engine,extraction_status,classification,note
3109872,关于修订印发2018年度金融企业财务报表格式的通知,substantive-attachment,https://kjs.mof.gov.cn/gongzuotongzhi/201812/t20181227_3109872.htm,https://kjs.mof.gov.cn/gongzuotongzhi/201812/P020181227598151630019.pdf,raw/_archive/standards/accounting/page-attachments/001-P020181227598151630019.pdf,raw/standards/accounting/page-attachments/001-P020181227598151630019.pdf.md,2b5e04145a3511a9b373d3955ba97893fcfb600227183915b44ea932b59bf8b8,application/pdf,pymupdf,ok,archived,
3857395,关于印发《企业会计准则解释第16号》的通知,substantive-attachment,https://kjs.mof.gov.cn/gongzuotongzhi/202212/t20221212_3857395.htm,https://kjs.mof.gov.cn/gongzuotongzhi/202212/P020221213437987613379.pdf,raw/standards/accounting/interpretations-pages/解释第16号_附件.pdf,raw/standards/accounting/interpretations-pages/解释第16号_附件.pdf.md,41d5c5be6d0333900b8c7f9eab1e8926b4b08fdd0291db6033445171fc4b1752,application/pdf,existing-sidecar,ok,archived,renamed interpretation attachment
33804,关于印发《企业会计准则解释第1号》的通知,substantive-attachment,https://kjs.mof.gov.cn/zhengcefabu/200805/t20080522_33804.htm,https://kjs.mof.gov.cn/zhengcefabu/200805/P020081118406702247293.doc,raw/standards/accounting/interpretations-pages/解释第01号_附件.doc,raw/standards/accounting/interpretations-pages/解释第01号_附件.doc.md,0b5ed2f0e92e456a3352e42d071cb1a5e47c5558faa1daee45eddc9f45b73db2,application/msword,existing-sidecar,ok,archived,renamed interpretation attachment
74645,关于印发企业会计准则解释第2号的通知,substantive-attachment,https://kjs.mof.gov.cn/zhengcefabu/200809/t20080912_74645.htm,https://kjs.mof.gov.cn/zhengcefabu/200809/P020080912540661805201.doc,raw/standards/accounting/interpretations-pages/解释第02号_附件.doc,raw/standards/accounting/interpretations-pages/解释第02号_附件.doc.md,b0fae717b7dd9cc8b1865bed0aa6677eb530fc8c529e4ec2d2cd3eb744247e66,application/msword,existing-sidecar,ok,archived,renamed interpretation attachment
172281,关于印发企业会计准则解释第3号的通知,substantive-attachment,https://kjs.mof.gov.cn/zhengcefabu/200906/t20090625_172281.htm,https://kjs.mof.gov.cn/zhengcefabu/200906/P020090625556829994230.doc,raw/standards/accounting/interpretations-pages/解释第03号_附件.doc,raw/standards/accounting/interpretations-pages/解释第03号_附件.doc.md,946a940ee3dfb3a016610432df266d1482f4e1b2dbdb54b8f9faca14ede25249,application/msword,existing-sidecar,ok,archived,renamed interpretation attachment
1038629,关于印发《企业会计准则解释第6号》的通知,substantive-attachment,https://kjs.mof.gov.cn/zhengcefabu/201401/t20140123_1038629.htm,https://kjs.mof.gov.cn/zhengcefabu/201401/P020140123592926740992.doc,raw/standards/accounting/interpretations-pages/解释第06号_附件.doc,raw/standards/accounting/interpretations-pages/解释第06号_附件.doc.md,9649d736fb4b57bfbac3c13f01d4c41805dd89c05d5947a765c19165ecfa94c2,application/msword,existing-sidecar,ok,archived,renamed interpretation attachment
1052943,关于印发《农业保险大灾风险准备金会计处理规定》的通知,substantive-attachment,https://kjs.mof.gov.cn/zhengcefabu/201403/t20140307_1052943.htm,https://kjs.mof.gov.cn/zhengcefabu/201403/P020140307389182567029.pdf,raw/_archive/standards/accounting/page-attachments/003-P020140307389182567029.pdf,raw/standards/accounting/page-attachments/003-P020140307389182567029.pdf.md,2294baba06cf84f05f5681accb5d761e06637e5a4cb968955e40c7115c92ab44,application/pdf,pymupdf,ok,archived,
1057952,关于印发《金融负债与权益工具的区分及相关会计处理规定》的通知,substantive-attachment,https://kjs.mof.gov.cn/zhengcefabu/201403/t20140321_1057952.htm,https://kjs.mof.gov.cn/zhengcefabu/201403/P020140321350163053512.pdf,raw/_archive/standards/accounting/page-attachments/004-P020140321350163053512.pdf,raw/standards/accounting/page-attachments/004-P020140321350163053512.pdf.md,93d4bded5553a7d53bf30b56c768fbe27b46bf6f414e586136ae029b8a7609a9,application/pdf,pymupdf,ok,archived,
1173216,关于印发《企业产品成本核算制度——石油石化行业》的通知,substantive-attachment,https://kjs.mof.gov.cn/zhengcefabu/201412/t20141229_1173216.htm,https://kjs.mof.gov.cn/zhengcefabu/201412/P020141229297164266021.pdf,raw/_archive/standards/accounting/page-attachments/005-P020141229297164266021.pdf,raw/standards/accounting/page-attachments/005-P020141229297164266021.pdf.md,ea413960076e45d357360cefc5012656ca3727d0b45dff536d6494a1c04a08fa,application/pdf,pymupdf,ok,archived,
1559056,关于印发《企业会计准则解释第7号》的通知,substantive-attachment,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,https://kjs.mof.gov.cn/zhengcefabu/201511/P020151113316589161827.pdf,raw/_archive/standards/accounting/page-attachments/008-P020151113316589161827.pdf,raw/standards/accounting/page-attachments/008-P020151113316589161827.pdf.md,553d7a2754ef78d157a4df231f431066459a65c1594c5358e85dea515c96439e,application/pdf,pymupdf,ok,archived,
