SourceType,SourceTypeLabel,Title,Url,LocalPath,Seq,StandardNo,StandardKey,StandardPage,MappingMethod,Confidence,InterpretationNo
standard,准则原文,企业会计准则——基本准则,http://tfs.mof.gov.cn/caizhengbuling/201407/t20140729_1119494.htm,raw/standards/accounting/standards-pages/企业会计准则-基本准则.html,,,basic,concepts/accounting-standards/basic,basic-standard-title,high,
standard,准则原文,企业会计准则第5号——生物资产,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46212.htm,raw/standards/accounting/standards-pages/企业会计准则第5号-生物资产.html,,5,cas-05,concepts/accounting-standards/cas-05,title-standard-number,high,
standard,准则原文,企业会计准则第4号——固定资产,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46213.htm,raw/standards/accounting/standards-pages/企业会计准则第4号-固定资产.html,,4,cas-04,concepts/accounting-standards/cas-04,title-standard-number,high,
standard,准则原文,企业会计准则第3号——投资性房地产,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46214.htm,raw/standards/accounting/standards-pages/企业会计准则第3号-投资性房地产.html,,3,cas-03,concepts/accounting-standards/cas-03,title-standard-number,high,
standard,准则原文,企业会计准则第2号——长期股权投资,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46215.htm,raw/standards/accounting/standards-pages/企业会计准则第2号-长期股权投资.html,,2,cas-02,concepts/accounting-standards/cas-02,title-standard-number,high,
standard,准则原文,企业会计准则第1号——存货,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46216.htm,raw/standards/accounting/standards-pages/企业会计准则第1号-存货.html,,1,cas-01,concepts/accounting-standards/cas-01,title-standard-number,high,
standard,准则原文,企业会计准则第30号——财务报表列报,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46218.htm,raw/standards/accounting/standards-pages/企业会计准则第30号-财务报表列报.html,,30,cas-30,concepts/accounting-standards/cas-30,title-standard-number,high,
standard,准则原文,企业会计准则第29号——资产负债表日后事项,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46219.htm,raw/standards/accounting/standards-pages/企业会计准则第29号-资产负债表日后事项.html,,29,cas-29,concepts/accounting-standards/cas-29,title-standard-number,high,
standard,准则原文,企业会计准则第28号——会计政策、会计估计变更和差错更正,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46220.htm,raw/standards/accounting/standards-pages/企业会计准则第28号-会计政策-会计估计变更和差错更正.html,,28,cas-28,concepts/accounting-standards/cas-28,title-standard-number,high,
standard,准则原文,企业会计准则第27号——石油天然气开采,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46221.htm,raw/standards/accounting/standards-pages/企业会计准则第27号-石油天然气开采.html,,27,cas-27,concepts/accounting-standards/cas-27,title-standard-number,high,
standard,准则原文,企业会计准则第26号——再保险合同（财会〔2006〕3号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46222.htm,raw/standards/accounting/standards-pages/企业会计准则第26号-再保险合同-财会〔2006〕3号.html,,26,cas-26,concepts/accounting-standards/cas-26,title-standard-number,high,
standard,准则原文,企业会计准则第25号——原保险合同（财会〔2006〕3号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46223.htm,raw/standards/accounting/standards-pages/企业会计准则第25号-原保险合同-财会〔2006〕3号.html,,25,cas-25,concepts/accounting-standards/cas-25,title-standard-number,high,
standard,准则原文,企业会计准则第24号——套期保值（财会〔2006〕3号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46224.htm,raw/standards/accounting/standards-pages/企业会计准则第24号-套期保值-财会〔2006〕3号.html,,24,cas-24,concepts/accounting-standards/cas-24,title-standard-number,high,
standard,准则原文,企业会计准则第23号——金融资产转移（财会〔2006〕3号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46225.htm,raw/standards/accounting/standards-pages/企业会计准则第23号-金融资产转移-财会〔2006〕3号.html,,23,cas-23,concepts/accounting-standards/cas-23,title-standard-number,high,
standard,准则原文,企业会计准则第22号——金融工具确认和计量（财会〔2006〕3号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46226.htm,raw/standards/accounting/standards-pages/企业会计准则第22号-金融工具确认和计量-财会〔2006〕3号.html,,22,cas-22,concepts/accounting-standards/cas-22,title-standard-number,high,
standard,准则原文,企业会计准则第20号——企业合并,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46228.htm,raw/standards/accounting/standards-pages/企业会计准则第20号-企业合并.html,,20,cas-20,concepts/accounting-standards/cas-20,title-standard-number,high,
standard,准则原文,企业会计准则第19号——外币折算,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46229.htm,raw/standards/accounting/standards-pages/企业会计准则第19号-外币折算.html,,19,cas-19,concepts/accounting-standards/cas-19,title-standard-number,high,
standard,准则原文,企业会计准则第18号——所得税,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46230.htm,raw/standards/accounting/standards-pages/企业会计准则第18号-所得税.html,,18,cas-18,concepts/accounting-standards/cas-18,title-standard-number,high,
standard,准则原文,企业会计准则第17号——借款费用,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46231.htm,raw/standards/accounting/standards-pages/企业会计准则第17号-借款费用.html,,17,cas-17,concepts/accounting-standards/cas-17,title-standard-number,high,
standard,准则原文,企业会计准则第16号——政府补助,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46232.htm,raw/standards/accounting/standards-pages/企业会计准则第16号-政府补助.html,,16,cas-16,concepts/accounting-standards/cas-16,title-standard-number,high,
standard,准则原文,企业会计准则第13号——或有事项,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46235.htm,raw/standards/accounting/standards-pages/企业会计准则第13号-或有事项.html,,13,cas-13,concepts/accounting-standards/cas-13,title-standard-number,high,
standard,准则原文,企业会计准则第11号——股份支付,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46237.htm,raw/standards/accounting/standards-pages/企业会计准则第11号-股份支付.html,,11,cas-11,concepts/accounting-standards/cas-11,title-standard-number,high,
standard,准则原文,企业会计准则第10号——企业年金基金,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46238.htm,raw/standards/accounting/standards-pages/企业会计准则第10号-企业年金基金.html,,10,cas-10,concepts/accounting-standards/cas-10,title-standard-number,high,
standard,准则原文,企业会计准则第9号——职工薪酬,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46239.htm,raw/standards/accounting/standards-pages/企业会计准则第9号-职工薪酬.html,,9,cas-09,concepts/accounting-standards/cas-09,title-standard-number,high,
standard,准则原文,企业会计准则第8号——资产减值,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46240.htm,raw/standards/accounting/standards-pages/企业会计准则第8号-资产减值.html,,8,cas-08,concepts/accounting-standards/cas-08,title-standard-number,high,
standard,准则原文,企业会计准则第6号——无形资产,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46242.htm,raw/standards/accounting/standards-pages/企业会计准则第6号-无形资产.html,,6,cas-06,concepts/accounting-standards/cas-06,title-standard-number,high,
standard,准则原文,企业会计准则第38号——首次执行企业会计准则,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46243.htm,raw/standards/accounting/standards-pages/企业会计准则第38号-首次执行企业会计准则.html,,38,cas-38,concepts/accounting-standards/cas-38,title-standard-number,high,
standard,准则原文,企业会计准则第37号——金融工具列报（财会〔2014〕23号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46244.htm,raw/standards/accounting/standards-pages/企业会计准则第37号-金融工具列报-财会〔2014〕23号.html,,37,cas-37,concepts/accounting-standards/cas-37,title-standard-number,high,
standard,准则原文,企业会计准则第36号——关联方披露,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46245.htm,raw/standards/accounting/standards-pages/企业会计准则第36号-关联方披露.html,,36,cas-36,concepts/accounting-standards/cas-36,title-standard-number,high,
standard,准则原文,企业会计准则第35号——分部报告,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46246.htm,raw/standards/accounting/standards-pages/企业会计准则第35号-分部报告.html,,35,cas-35,concepts/accounting-standards/cas-35,title-standard-number,high,
standard,准则原文,企业会计准则第34号——每股收益,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46247.htm,raw/standards/accounting/standards-pages/企业会计准则第34号-每股收益.html,,34,cas-34,concepts/accounting-standards/cas-34,title-standard-number,high,
standard,准则原文,企业会计准则第33号——合并财务报表,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46248.htm,raw/standards/accounting/standards-pages/企业会计准则第33号-合并财务报表.html,,33,cas-33,concepts/accounting-standards/cas-33,title-standard-number,high,
standard,准则原文,企业会计准则第32号——中期财务报告,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46249.htm,raw/standards/accounting/standards-pages/企业会计准则第32号-中期财务报告.html,,32,cas-32,concepts/accounting-standards/cas-32,title-standard-number,high,
standard,准则原文,企业会计准则第31号——现金流量表,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46250.htm,raw/standards/accounting/standards-pages/企业会计准则第31号-现金流量表.html,,31,cas-31,concepts/accounting-standards/cas-31,title-standard-number,high,
standard,准则原文,企业会计准则第39号——公允价值计量,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201512/t20151208_1602631.htm,raw/standards/accounting/standards-pages/企业会计准则第39号-公允价值计量.html,,39,cas-39,concepts/accounting-standards/cas-39,title-standard-number,high,
standard,准则原文,企业会计准则第40号——合营安排,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201512/t20151208_1602633.htm,raw/standards/accounting/standards-pages/企业会计准则第40号-合营安排.html,,40,cas-40,concepts/accounting-standards/cas-40,title-standard-number,high,
standard,准则原文,企业会计准则第41号——在其他主体中权益的披露,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201512/t20151208_1602637.htm,raw/standards/accounting/standards-pages/企业会计准则第41号-在其他主体中权益的披露.html,,41,cas-41,concepts/accounting-standards/cas-41,title-standard-number,high,
standard,准则原文,企业会计准则第14号——收入,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170907_2694006.htm,raw/standards/accounting/standards-pages/企业会计准则第14号-收入.html,,14,cas-14,concepts/accounting-standards/cas-14,title-standard-number,high,
standard,准则原文,企业会计准则第37号——金融工具列报（财会〔2017〕14号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170907_2694118.htm,raw/standards/accounting/standards-pages/企业会计准则第37号-金融工具列报-财会〔2017〕14号.html,,37,cas-37,concepts/accounting-standards/cas-37,title-standard-number,high,
standard,准则原文,企业会计准则第42号——持有待售的非流动资产、处置组和终止经营,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170907_2694145.htm,raw/standards/accounting/standards-pages/企业会计准则第42号-持有待售的非流动资产-处置组和终止经营.html,,42,cas-42,concepts/accounting-standards/cas-42,title-standard-number,high,
standard,准则原文,企业会计准则第24号——套期会计（财会〔2017〕9号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170908_2694624.htm,raw/standards/accounting/standards-pages/企业会计准则第24号-套期会计-财会〔2017〕9号.html,,24,cas-24,concepts/accounting-standards/cas-24,title-standard-number,high,
standard,准则原文,企业会计准则第23号——金融资产转移（财会〔2017〕8号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170908_2694626.htm,raw/standards/accounting/standards-pages/企业会计准则第23号-金融资产转移-财会〔2017〕8号.html,,23,cas-23,concepts/accounting-standards/cas-23,title-standard-number,high,
standard,准则原文,企业会计准则第22号——金融工具确认和计量（财会〔2017〕7号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170908_2694655.htm,raw/standards/accounting/standards-pages/企业会计准则第22号-金融工具确认和计量-财会〔2017〕7号.html,,22,cas-22,concepts/accounting-standards/cas-22,title-standard-number,high,
standard,准则原文,企业会计准则第7号——非货币性资产交换,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201909/t20190911_3384679.htm,raw/standards/accounting/standards-pages/企业会计准则第7号-非货币性资产交换.html,,7,cas-07,concepts/accounting-standards/cas-07,title-standard-number,high,
standard,准则原文,企业会计准则第12号——债务重组,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201910/t20191028_3410789.htm,raw/standards/accounting/standards-pages/企业会计准则第12号-债务重组.html,,12,cas-12,concepts/accounting-standards/cas-12,title-standard-number,high,
standard,准则原文,企业会计准则第21号——租赁,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201910/t20191028_3411190.htm,raw/standards/accounting/standards-pages/企业会计准则第21号-租赁.html,,21,cas-21,concepts/accounting-standards/cas-21,title-standard-number,high,
standard,准则原文,企业会计准则第25号——保险合同（财会〔2020〕20号）,https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/202202/t20220224_3790240.htm,raw/standards/accounting/standards-pages/企业会计准则第25号-保险合同-财会〔2020〕20号.html,,25,cas-25,concepts/accounting-standards/cas-25,title-standard-number,high,
interpretation,准则解释,关于印发《企业会计准则解释第16号》的通知,https://kjs.mof.gov.cn/gongzuotongzhi/202212/t20221212_3857395.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第16号-的通知.html,,,unmapped,,unmapped,low,16
interpretation,准则解释,关于印发《企业会计准则解释第1号》的通知,https://kjs.mof.gov.cn/zhengcefabu/200805/t20080522_33804.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第1号-的通知.html,,,unmapped,,unmapped,low,1
interpretation,准则解释,关于印发企业会计准则解释第2号的通知,https://kjs.mof.gov.cn/zhengcefabu/200809/t20080912_74645.htm,raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第2号的通知.html,,,unmapped,,unmapped,low,2
interpretation,准则解释,关于印发企业会计准则解释第3号的通知,https://kjs.mof.gov.cn/zhengcefabu/200906/t20090625_172281.htm,raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第3号的通知.html,,,unmapped,,unmapped,low,3
interpretation,准则解释,关于印发企业会计准则解释第4号的通知,https://kjs.mof.gov.cn/zhengcefabu/201008/t20100809_332092.htm,raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第4号的通知.html,,,unmapped,,unmapped,low,4
interpretation,准则解释,关于印发企业会计准则解释第5号的通知,https://kjs.mof.gov.cn/zhengcefabu/201211/t20121122_701308.htm,raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第5号的通知.html,,,unmapped,,unmapped,low,5
interpretation,准则解释,关于印发《企业会计准则解释第6号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201401/t20140123_1038629.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第6号-的通知.html,,,unmapped,,unmapped,low,6
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,,unmapped,,unmapped,low,7
interpretation,准则解释,关于印发《企业会计准则解释第8号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201601/t20160104_1643346.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第8号-的通知.html,,,unmapped,,unmapped,low,8
interpretation,准则解释,关于印发《企业会计准则解释第9号——关于权益法下投资净损失的会计处理》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628433.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第9号-关于权益法下投资净损失的会计处理-的通知.html,,,unmapped,,unmapped,low,9
interpretation,准则解释,关于印发《企业会计准则解释第10号——关于以使用固定资产产生的收入为基础的折旧方法》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628435.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第10号-关于以使用固定资产产生的收入为基础的折旧方法-的通知.html,,4,cas-04,concepts/accounting-standards/cas-04,title-topic-keyword,medium,10
interpretation,准则解释,关于印发《企业会计准则解释第10号——关于以使用固定资产产生的收入为基础的折旧方法》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628435.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第10号-关于以使用固定资产产生的收入为基础的折旧方法-的通知.html,,14,cas-14,concepts/accounting-standards/cas-14,title-topic-keyword,medium,10
